Fecha,Producto,Cantidad_Vendida,Precio_Unitario,Categoria_Producto,Sucursal,ID_Cliente,ID_Vendedor,Tipo_Cliente,Metodo_Pago,Total_Ventas
2020-06-17,Corbata,3,15,Ropa,Sur,1259,020001,Minorista,Efectivo,45
2022-10-01,Sal,1,1,Alimentos,Este,1176,050015,Mayorista,Transferencia Bancaria,1
2023-11-28,Té,5,2,Bebidas,Este,1734,040003,Mayorista,Transferencia Bancaria,10
2022-01-25,Thriller,4,16,Libros,Oeste,1304,030013,Minorista,Transferencia Bancaria,64
2022-09-10,Bufanda,8,15,Ropa,Sur,1629,030015,Minorista,Tarjeta de Crédito,120
2023-05-08,Auriculares,2,50,Electrónica,Sur,1987,030011,Mayorista,Efectivo,100
2021-06-01,Espejo,7,40,Muebles,Norte,1487,030005,Minorista,Efectivo,280
2020-08-20,Sudadera,1,35,Ropa,Oeste,1824,020005,Minorista,Tarjeta de Crédito,35
2020-12-02,Proyector,1,600,Electrónica,Oeste,1789,010006,Mayorista,Tarjeta de Crédito,600
2023-11-21,Coctel,1,8,Bebidas,Sur,1036,050001,Minorista,Efectivo,8
2020-10-17,Pasta,4,2,Alimentos,Sur,1753,030013,Mayorista,Tarjeta de Crédito,8
2021-12-19,Ron,1,25,Bebidas,Oeste,1917,040009,Minorista,Transferencia Bancaria,25
2021-12-15,Café,6,2,Bebidas,Norte,1726,030014,Mayorista,Tarjeta de Crédito,12
2022-01-31,Huevos,9,1,Alimentos,Este,1290,040007,Minorista,Transferencia Bancaria,9
2022-07-27,Altavoces,6,80,Electrónica,Sur,1033,010006,Mayorista,Transferencia Bancaria,480
2020-01-01,Espejo,4,40,Muebles,Sur,1732,040003,Mayorista,Transferencia Bancaria,160
2020-06-21,Cereal,6,4,Alimentos,Sur,1946,010013,Mayorista,Transferencia Bancaria,24
2020-09-14,Escritorio,8,150,Muebles,Este,1853,040007,Mayorista,Transferencia Bancaria,1200
2023-01-09,Smartwatch,2,200,Electrónica,Sur,1721,040009,Minorista,Transferencia Bancaria,400
2022-05-15,Pijama,2,25,Ropa,Centro,1242,010005,Minorista,Efectivo,50
2021-12-30,Autoayuda,3,15,Libros,Este,1787,010011,Minorista,Efectivo,45
2021-10-13,Aceite de oliva,3,5,Alimentos,Centro,1343,040015,Mayorista,Efectivo,15
2020-05-20,Silla,1,50,Muebles,Sur,1984,050015,Mayorista,Efectivo,50
2021-12-24,Negocios,5,20,Libros,Oeste,1440,050015,Mayorista,Tarjeta de Crédito,100
2023-09-14,Cuna,6,300,Muebles,Centro,1295,040006,Mayorista,Transferencia Bancaria,1800
2022-01-23,Arroz,4,3,Alimentos,Este,1460,030006,Mayorista,Transferencia Bancaria,12
2023-09-14,Té,8,2,Bebidas,Norte,1893,010003,Minorista,Transferencia Bancaria,16
2022-06-15,Calcetines,4,5,Ropa,Sur,1746,020013,Minorista,Transferencia Bancaria,20
2021-11-17,Micrófono,7,70,Electrónica,Este,1908,050013,Mayorista,Tarjeta de Crédito,490
2020-08-30,Cocina,4,30,Libros,Centro,1990,010013,Mayorista,Tarjeta de Crédito,120
2020-02-05,Carne,2,8,Alimentos,Centro,1681,050012,Mayorista,Tarjeta de Crédito,16
2020-10-05,Estantería,3,100,Muebles,Norte,1863,050009,Mayorista,Efectivo,300
2021-09-15,Mesita de noche,6,50,Muebles,Sur,1878,020013,Minorista,Tarjeta de Crédito,300
2022-08-01,Café,2,7,Alimentos,Este,1176,030009,Mayorista,Efectivo,14
2021-03-02,Soda,2,2,Bebidas,Centro,1647,030012,Minorista,Transferencia Bancaria,4
2023-10-26,Tocador,6,200,Muebles,Sur,1507,020014,Mayorista,Efectivo,1200
2020-05-06,Thriller,8,16,Libros,Centro,1363,040004,Minorista,Efectivo,128
2021-03-16,Calcetines,8,5,Ropa,Centro,1168,050012,Minorista,Efectivo,40
2020-02-02,Altavoces,4,80,Electrónica,Este,1600,050007,Minorista,Efectivo,320
2022-04-02,Ron,5,25,Bebidas,Norte,1607,040008,Mayorista,Tarjeta de Crédito,125
2023-10-05,Guantes,7,10,Ropa,Centro,1143,020014,Mayorista,Transferencia Bancaria,70
2022-09-04,Cocina,2,30,Libros,Centro,1676,030010,Minorista,Tarjeta de Crédito,60
2020-06-20,Arte,5,25,Libros,Norte,1160,040011,Minorista,Transferencia Bancaria,125
2020-12-05,Huevos,2,1,Alimentos,Oeste,1796,040001,Mayorista,Tarjeta de Crédito,2
2021-05-02,Arroz,2,3,Alimentos,Centro,1605,050003,Mayorista,Efectivo,6
2022-01-28,Sofá,5,500,Muebles,Norte,1045,030006,Minorista,Tarjeta de Crédito,2500
2020-04-26,Coctel,8,8,Bebidas,Norte,1733,010015,Minorista,Transferencia Bancaria,64
2022-12-04,Leche,3,3,Alimentos,Norte,1905,020002,Minorista,Tarjeta de Crédito,9
2021-08-22,Verduras,5,5,Alimentos,Norte,1265,040008,Mayorista,Efectivo,25
2020-12-08,Traje,8,100,Ropa,Oeste,1805,040002,Mayorista,Efectivo,800
2021-08-12,Laptop,1,800,Electrónica,Centro,1791,030010,Minorista,Efectivo,800
2023-01-17,Mesita de noche,9,50,Muebles,Centro,1305,020011,Minorista,Transferencia Bancaria,450
2022-11-06,Sombrero,4,20,Ropa,Oeste,1344,010004,Minorista,Efectivo,80
2020-08-18,Router,5,80,Electrónica,Oeste,1774,010007,Minorista,Transferencia Bancaria,400
2022-07-04,Falda,1,30,Ropa,Oeste,1130,010013,Minorista,Transferencia Bancaria,30
2020-05-27,Azúcar,1,1,Alimentos,Este,1680,030001,Minorista,Efectivo,1
2020-05-07,Televisor,6,500,Electrónica,Centro,1128,030009,Mayorista,Transferencia Bancaria,3000
2023-06-23,Smartwatch,4,200,Electrónica,Centro,1395,010001,Mayorista,Efectivo,800
2023-12-29,Ciencia ficción,1,12,Libros,Centro,1549,040004,Minorista,Tarjeta de Crédito,12
2020-08-14,Televisor,8,500,Electrónica,Norte,1707,040007,Mayorista,Tarjeta de Crédito,4000
2021-04-14,Mesa de centro,9,80,Muebles,Centro,1324,010009,Minorista,Tarjeta de Crédito,720
2022-07-03,Router,7,80,Electrónica,Norte,1154,020006,Minorista,Efectivo,560
2023-06-28,Cerveza,5,3,Bebidas,Norte,1071,020006,Minorista,Transferencia Bancaria,15
2022-03-03,Soda,9,2,Bebidas,Norte,1631,040005,Mayorista,Efectivo,18
2020-08-28,Vino,5,10,Bebidas,Norte,1500,050002,Minorista,Transferencia Bancaria,50
2021-10-12,Aceite de oliva,9,5,Alimentos,Este,1715,040013,Minorista,Transferencia Bancaria,45
2023-05-27,Poesía,2,10,Libros,Centro,1959,040003,Mayorista,Tarjeta de Crédito,20
2023-11-02,Auriculares,3,50,Electrónica,Centro,1256,050002,Mayorista,Transferencia Bancaria,150
2023-12-16,Salsa,6,3,Alimentos,Este,1675,050004,Mayorista,Efectivo,18
2021-12-31,Estantería,6,100,Muebles,Sur,1852,040004,Minorista,Tarjeta de Crédito,600
2023-10-28,Té,4,2,Bebidas,Sur,1185,010009,Minorista,Efectivo,8
2023-06-10,Cómoda,4,300,Muebles,Este,1431,050009,Minorista,Tarjeta de Crédito,1200
2022-12-18,Impresora,8,150,Electrónica,Este,1264,040010,Minorista,Efectivo,1200
2020-08-03,Ciencia ficción,9,12,Libros,Sur,1814,030002,Minorista,Efectivo,108
2021-05-07,Smartwatch,2,200,Electrónica,Este,1990,030006,Minorista,Tarjeta de Crédito,400
2022-02-07,Armario,7,400,Muebles,Oeste,1701,050007,Minorista,Efectivo,2800
2023-08-24,Arroz,6,3,Alimentos,Oeste,1339,020001,Minorista,Tarjeta de Crédito,18
2023-09-09,Pescado,4,10,Alimentos,Sur,1994,030003,Mayorista,Efectivo,40
2023-05-07,Cereal,1,4,Alimentos,Este,1695,020001,Mayorista,Tarjeta de Crédito,4
2020-02-05,Teléfono,5,300,Electrónica,Oeste,1790,040005,Mayorista,Efectivo,1500
2022-03-20,Consola de videojuegos,7,400,Electrónica,Oeste,1194,050015,Mayorista,Transferencia Bancaria,2800
2021-12-15,Batería portátil,2,30,Electrónica,Norte,1185,040003,Minorista,Efectivo,60
2020-01-19,Silla,2,50,Muebles,Oeste,1361,050011,Mayorista,Efectivo,100
2023-04-17,Thriller,8,16,Libros,Este,1566,050005,Mayorista,Tarjeta de Crédito,128
2022-07-29,Altavoces,7,80,Electrónica,Sur,1888,010004,Mayorista,Transferencia Bancaria,560
2020-07-23,Mesa de centro,6,80,Muebles,Centro,1972,040006,Minorista,Tarjeta de Crédito,480
2022-08-20,Ron,1,25,Bebidas,Norte,1605,020001,Minorista,Efectivo,25
2020-12-05,Viajes,6,22,Libros,Sur,1410,050006,Mayorista,Transferencia Bancaria,132
2023-02-08,Cómoda,2,300,Muebles,Este,1698,050003,Mayorista,Transferencia Bancaria,600
2020-04-09,Verduras,6,5,Alimentos,Sur,1309,010009,Mayorista,Transferencia Bancaria,30
2021-09-29,Carne,7,8,Alimentos,Norte,1917,040001,Minorista,Tarjeta de Crédito,56
2020-11-25,Escritorio,8,150,Muebles,Norte,1762,030001,Minorista,Tarjeta de Crédito,1200
2023-01-10,Traje,3,100,Ropa,Norte,1519,050006,Mayorista,Transferencia Bancaria,300
2021-10-10,Laptop,8,800,Electrónica,Este,1948,040002,Mayorista,Efectivo,6400
2023-07-29,Carne,3,8,Alimentos,Oeste,1982,050003,Minorista,Tarjeta de Crédito,24
2023-11-19,Salsa,1,3,Alimentos,Norte,1650,020003,Minorista,Efectivo,3
2020-10-10,Batería portátil,8,30,Electrónica,Oeste,1743,010005,Mayorista,Efectivo,240
2021-08-30,Cereal,9,4,Alimentos,Norte,1965,020007,Mayorista,Efectivo,36
2021-07-14,Novela,6,15,Libros,Norte,1006,030011,Minorista,Efectivo,90
2021-12-30,Cereal,5,4,Alimentos,Este,1770,020005,Mayorista,Efectivo,20
2020-04-02,Champán,8,50,Bebidas,Norte,1681,050005,Mayorista,Tarjeta de Crédito,400
2020-06-21,Espejo,2,40,Muebles,Este,1772,010003,Mayorista,Transferencia Bancaria,80
2021-09-11,Energizante,9,3,Bebidas,Sur,1976,010014,Minorista,Tarjeta de Crédito,27
2022-12-17,Biografía,7,20,Libros,Centro,1875,020014,Mayorista,Efectivo,140
2022-05-10,Guantes,9,10,Ropa,Este,1940,040001,Minorista,Transferencia Bancaria,90
2021-12-06,Guantes,4,10,Ropa,Norte,1553,010010,Minorista,Transferencia Bancaria,40
2023-04-13,Whisky,3,30,Bebidas,Norte,1685,030007,Mayorista,Efectivo,90
2021-02-26,Jugo de frutas,3,3,Bebidas,Oeste,1664,040002,Mayorista,Tarjeta de Crédito,9
2021-08-27,Cuna,8,300,Muebles,Oeste,1106,020015,Mayorista,Tarjeta de Crédito,2400
2023-07-29,Misterio,5,14,Libros,Sur,1575,050003,Minorista,Efectivo,70
2021-02-21,Leche de almendras,7,4,Bebidas,Norte,1951,010014,Mayorista,Efectivo,28
2023-03-26,Huevos,4,1,Alimentos,Norte,1283,020006,Minorista,Tarjeta de Crédito,4
2023-10-08,Router,4,80,Electrónica,Oeste,1431,050006,Minorista,Transferencia Bancaria,320
2021-10-10,Mesa,5,200,Muebles,Oeste,1388,050003,Minorista,Tarjeta de Crédito,1000
2022-06-07,Cuna,6,300,Muebles,Este,1372,020010,Minorista,Tarjeta de Crédito,1800
2022-06-17,Sal,3,1,Alimentos,Oeste,1011,050013,Mayorista,Efectivo,3
2023-01-29,Leche,9,3,Alimentos,Norte,1407,050013,Minorista,Transferencia Bancaria,27
2022-01-08,Whisky,2,30,Bebidas,Oeste,1099,030002,Mayorista,Transferencia Bancaria,60
2020-12-31,Energizante,1,3,Bebidas,Norte,1185,020007,Mayorista,Tarjeta de Crédito,3
2022-09-12,Soda,2,2,Bebidas,Este,1586,020015,Mayorista,Efectivo,4
2020-03-05,Frutas,1,6,Alimentos,Este,1320,010004,Mayorista,Efectivo,6
2022-01-16,Corbata,3,15,Ropa,Sur,1182,010005,Minorista,Tarjeta de Crédito,45
2023-11-25,Leche,9,3,Alimentos,Sur,1377,040013,Mayorista,Efectivo,27
2023-02-15,Huevos,8,1,Alimentos,Oeste,1689,040014,Mayorista,Tarjeta de Crédito,8
2020-08-20,Carne,8,8,Alimentos,Este,1103,020004,Minorista,Tarjeta de Crédito,64
2021-11-10,Mesita de noche,7,50,Muebles,Oeste,1754,020001,Minorista,Transferencia Bancaria,350
2022-04-24,Altavoces,4,80,Electrónica,Sur,1986,050005,Mayorista,Efectivo,320
2020-12-15,Cómoda,8,300,Muebles,Oeste,1635,030011,Minorista,Tarjeta de Crédito,2400
2021-12-31,Cama,3,700,Muebles,Sur,1597,040010,Minorista,Efectivo,2100
2021-01-29,Vestido,9,50,Ropa,Norte,1676,050003,Minorista,Transferencia Bancaria,450
2021-03-26,Café,6,2,Bebidas,Centro,1899,040001,Minorista,Tarjeta de Crédito,12
2023-12-13,Salsa,2,3,Alimentos,Centro,1615,030009,Mayorista,Transferencia Bancaria,6
2023-10-01,Poesía,5,10,Libros,Este,1810,020012,Mayorista,Efectivo,50
2021-11-05,Historia,8,20,Libros,Sur,1622,040003,Mayorista,Tarjeta de Crédito,160
2021-03-12,Silla,9,50,Muebles,Sur,1859,050004,Mayorista,Transferencia Bancaria,450
2020-11-12,Cereal,9,4,Alimentos,Sur,1454,050014,Minorista,Efectivo,36
2020-02-23,Mesa,1,200,Muebles,Este,1476,040011,Minorista,Tarjeta de Crédito,200
2023-09-29,Viajes,2,22,Libros,Norte,1935,040005,Mayorista,Transferencia Bancaria,44
2023-04-19,Pan,5,2,Alimentos,Sur,1153,050006,Mayorista,Efectivo,10
2021-08-08,Sudadera,5,35,Ropa,Norte,1546,050009,Mayorista,Tarjeta de Crédito,175
2020-06-01,Biografía,2,20,Libros,Oeste,1583,020005,Mayorista,Transferencia Bancaria,40
2023-03-17,Biografía,3,20,Libros,Oeste,1432,020004,Mayorista,Tarjeta de Crédito,60
2021-03-29,Leche,2,3,Alimentos,Norte,1384,030009,Mayorista,Transferencia Bancaria,6
2022-11-27,Thriller,2,16,Libros,Centro,1957,030001,Mayorista,Efectivo,32
2022-11-15,Pasta,5,2,Alimentos,Sur,1696,030015,Minorista,Tarjeta de Crédito,10
2020-03-02,Escritorio,1,150,Muebles,Centro,1327,030013,Mayorista,Transferencia Bancaria,150
2022-09-01,Micrófono,1,70,Electrónica,Sur,1486,030002,Mayorista,Tarjeta de Crédito,70
2021-09-21,Carne,6,8,Alimentos,Oeste,1170,040014,Minorista,Efectivo,48
2021-02-07,Pijama,6,25,Ropa,Centro,1985,050011,Mayorista,Transferencia Bancaria,150
2020-10-23,Pan,9,2,Alimentos,Oeste,1922,010004,Mayorista,Efectivo,18
2020-11-17,Aceite de oliva,8,5,Alimentos,Centro,1635,010001,Mayorista,Transferencia Bancaria,40
2023-02-21,Micrófono,4,70,Electrónica,Centro,1250,010004,Minorista,Tarjeta de Crédito,280
2022-04-13,Pan,8,2,Alimentos,Centro,1744,010009,Mayorista,Transferencia Bancaria,16
2021-12-04,Cómoda,5,300,Muebles,Oeste,1690,030010,Mayorista,Tarjeta de Crédito,1500
2023-08-06,Camisa,2,30,Ropa,Centro,1132,010013,Mayorista,Tarjeta de Crédito,60
2023-11-30,Mesita de noche,9,50,Muebles,Centro,1245,010001,Minorista,Tarjeta de Crédito,450
2021-04-10,Estantería,2,100,Muebles,Oeste,1411,040012,Mayorista,Tarjeta de Crédito,200
2021-07-04,Ciencia ficción,8,12,Libros,Oeste,1212,020008,Mayorista,Efectivo,96
2020-08-01,Calcetines,3,5,Ropa,Este,1802,030003,Mayorista,Efectivo,15
2023-09-30,Cuna,5,300,Muebles,Oeste,1526,010001,Minorista,Transferencia Bancaria,1500
2022-02-26,Arroz,2,3,Alimentos,Sur,1845,010010,Minorista,Tarjeta de Crédito,6
2021-06-28,Pescado,9,10,Alimentos,Este,1173,040015,Mayorista,Transferencia Bancaria,90
2020-06-19,Agua embotellada,7,1,Bebidas,Sur,1789,030007,Mayorista,Transferencia Bancaria,7
2023-12-19,Thriller,5,16,Libros,Norte,1631,010001,Mayorista,Tarjeta de Crédito,80
2022-07-28,Zapatos,4,70,Ropa,Oeste,1584,050003,Mayorista,Efectivo,280
2022-04-04,Sal,1,1,Alimentos,Norte,1402,010013,Minorista,Tarjeta de Crédito,1
2020-11-12,Cámara,1,400,Electrónica,Sur,1062,040006,Mayorista,Transferencia Bancaria,400
2020-01-31,Aceite de oliva,2,5,Alimentos,Norte,1256,010009,Minorista,Tarjeta de Crédito,10
2020-07-06,Verduras,6,5,Alimentos,Este,1784,020008,Minorista,Tarjeta de Crédito,30
2023-08-11,Whisky,8,30,Bebidas,Norte,1481,020009,Minorista,Transferencia Bancaria,240
2023-10-29,Carne,5,8,Alimentos,Centro,1063,030005,Mayorista,Tarjeta de Crédito,40
2021-01-20,Autoayuda,3,15,Libros,Norte,1578,020008,Mayorista,Tarjeta de Crédito,45
2020-08-10,Teléfono,4,300,Electrónica,Sur,1370,010005,Minorista,Efectivo,1200
2021-02-20,Autoayuda,7,15,Libros,Norte,1182,040001,Minorista,Transferencia Bancaria,105
2021-07-02,Azúcar,7,1,Alimentos,Oeste,1499,020012,Minorista,Tarjeta de Crédito,7
2022-11-30,Estantería,4,100,Muebles,Sur,1636,050010,Minorista,Transferencia Bancaria,400
2020-04-15,Cocina,8,30,Libros,Oeste,1957,040007,Mayorista,Transferencia Bancaria,240
2020-03-18,Sombrero,5,20,Ropa,Norte,1125,040013,Mayorista,Tarjeta de Crédito,100
2023-11-13,Carne,1,8,Alimentos,Centro,1987,030015,Mayorista,Tarjeta de Crédito,8
2022-05-21,Router,5,80,Electrónica,Oeste,1467,050007,Minorista,Efectivo,400
2022-05-21,Sofá,8,500,Muebles,Este,1209,010015,Minorista,Tarjeta de Crédito,4000
2022-06-09,Agua embotellada,1,1,Bebidas,Sur,1762,010003,Minorista,Tarjeta de Crédito,1
2021-03-17,Zapatos,8,70,Ropa,Centro,1503,020010,Mayorista,Efectivo,560
2020-04-24,Carne,4,8,Alimentos,Norte,1231,010004,Minorista,Efectivo,32
2020-10-14,Router,9,80,Electrónica,Norte,1448,040013,Minorista,Efectivo,720
2022-02-13,Huevos,8,1,Alimentos,Este,1509,050002,Minorista,Transferencia Bancaria,8
2021-10-16,Bufanda,3,15,Ropa,Centro,1182,010014,Mayorista,Transferencia Bancaria,45
2020-10-09,Pasta,3,2,Alimentos,Sur,1648,010009,Mayorista,Transferencia Bancaria,6
2020-04-01,Café,6,2,Bebidas,Este,1249,030007,Mayorista,Transferencia Bancaria,12
2021-08-30,Zapatos,4,70,Ropa,Centro,1104,040002,Mayorista,Tarjeta de Crédito,280
2022-12-07,Autoayuda,7,15,Libros,Centro,1420,020005,Mayorista,Efectivo,105
2023-11-17,Chaquetas,2,60,Ropa,Sur,1836,030008,Minorista,Transferencia Bancaria,120
2021-11-04,Poesía,1,10,Libros,Centro,1059,050015,Minorista,Transferencia Bancaria,10
2022-06-13,Agua embotellada,2,1,Bebidas,Este,1380,010003,Mayorista,Tarjeta de Crédito,2
2022-09-14,Mesa de centro,9,80,Muebles,Sur,1297,050001,Mayorista,Tarjeta de Crédito,720
2022-01-14,Laptop,2,800,Electrónica,Norte,1119,020004,Minorista,Tarjeta de Crédito,1600
2022-03-31,Tableta,6,250,Electrónica,Norte,1337,010006,Minorista,Efectivo,1500
2022-02-02,Traje,2,100,Ropa,Norte,1088,050005,Minorista,Transferencia Bancaria,200
2022-08-14,Leche de almendras,6,4,Bebidas,Centro,1088,050014,Mayorista,Tarjeta de Crédito,24
2022-10-24,Cerveza,1,3,Bebidas,Este,1574,020004,Mayorista,Tarjeta de Crédito,3
2020-06-20,Té,5,2,Bebidas,Este,1964,040002,Mayorista,Transferencia Bancaria,10
2022-08-16,Misterio,8,14,Libros,Este,1518,050007,Minorista,Transferencia Bancaria,112
2020-11-29,Leche,7,3,Alimentos,Centro,1281,050012,Minorista,Efectivo,21
2020-05-26,Ciencia ficción,8,12,Libros,Norte,1931,040005,Mayorista,Efectivo,96
2023-12-04,Pantalones,9,40,Ropa,Este,1669,050009,Minorista,Transferencia Bancaria,360
2021-11-01,Champán,2,50,Bebidas,Este,1324,040009,Mayorista,Efectivo,100
2021-01-21,Agua embotellada,2,1,Bebidas,Este,1481,010001,Mayorista,Transferencia Bancaria,2
2021-12-31,Sofá,5,500,Muebles,Centro,1412,050001,Mayorista,Tarjeta de Crédito,2500
2021-10-20,Falda,8,30,Ropa,Este,1988,020006,Minorista,Tarjeta de Crédito,240
2022-01-28,Whisky,5,30,Bebidas,Sur,1881,010011,Mayorista,Transferencia Bancaria,150
2023-09-05,Leche de almendras,8,4,Bebidas,Este,1329,050010,Minorista,Transferencia Bancaria,32
2021-05-19,Arte,4,25,Libros,Sur,1469,050002,Minorista,Tarjeta de Crédito,100
2023-05-25,Infantil,3,8,Libros,Oeste,1150,020007,Mayorista,Transferencia Bancaria,24
2022-08-10,Tocador,5,200,Muebles,Centro,1352,020009,Mayorista,Transferencia Bancaria,1000
2021-05-12,Teléfono,7,300,Electrónica,Sur,1342,020007,Minorista,Efectivo,2100
2022-10-08,Viajes,9,22,Libros,Sur,1556,040004,Mayorista,Efectivo,198
2020-06-04,Mesa de centro,4,80,Muebles,Oeste,1338,010014,Mayorista,Transferencia Bancaria,320
2021-02-20,Cómoda,1,300,Muebles,Oeste,1387,050007,Mayorista,Transferencia Bancaria,300
2023-05-07,Reproductor de DVD,8,100,Electrónica,Oeste,1687,030009,Mayorista,Transferencia Bancaria,800
2023-09-22,Refresco,3,2,Bebidas,Centro,1135,050003,Minorista,Tarjeta de Crédito,6
2021-08-05,Altavoces,1,80,Electrónica,Norte,1841,050005,Mayorista,Tarjeta de Crédito,80
2023-02-01,Historia,2,20,Libros,Oeste,1284,040011,Minorista,Efectivo,40
2021-11-16,Coctel,7,8,Bebidas,Norte,1222,050011,Minorista,Tarjeta de Crédito,56
2023-10-04,Pescado,9,10,Alimentos,Oeste,1259,030008,Minorista,Tarjeta de Crédito,90
2021-03-22,Falda,3,30,Ropa,Centro,1597,050002,Minorista,Transferencia Bancaria,90
2022-09-19,Vestido,3,50,Ropa,Oeste,1006,050015,Mayorista,Transferencia Bancaria,150
2022-04-11,Armario,5,400,Muebles,Oeste,1690,010008,Mayorista,Efectivo,2000
2023-12-26,Silla,3,50,Muebles,Centro,1606,040003,Minorista,Transferencia Bancaria,150
2022-01-22,Auriculares,8,50,Electrónica,Norte,1525,010004,Minorista,Efectivo,400
2023-04-11,Huevos,2,1,Alimentos,Centro,1931,040014,Minorista,Transferencia Bancaria,2
2022-05-17,Bañador,8,45,Ropa,Sur,1208,010012,Minorista,Transferencia Bancaria,360
2021-10-27,Sofá,1,500,Muebles,Centro,1924,040005,Mayorista,Tarjeta de Crédito,500
2023-06-05,Refresco,2,2,Bebidas,Sur,1215,050004,Minorista,Tarjeta de Crédito,4
2022-03-05,Mesa,7,200,Muebles,Sur,1576,050015,Minorista,Tarjeta de Crédito,1400
2020-11-03,Vestido,8,50,Ropa,Sur,1300,010004,Mayorista,Efectivo,400
2022-04-26,Laptop,4,800,Electrónica,Este,1796,020005,Mayorista,Tarjeta de Crédito,3200
2023-09-02,Huevos,2,1,Alimentos,Norte,1161,050005,Minorista,Transferencia Bancaria,2
2022-04-01,Infantil,7,8,Libros,Norte,1887,010003,Mayorista,Tarjeta de Crédito,56
2021-11-30,Guantes,9,10,Ropa,Sur,1155,020007,Minorista,Tarjeta de Crédito,90
2021-07-28,Verduras,8,5,Alimentos,Este,1029,010014,Minorista,Efectivo,40
2021-04-11,Sofá,9,500,Muebles,Sur,1555,040010,Mayorista,Tarjeta de Crédito,4500
2020-10-18,Café,6,2,Bebidas,Centro,1829,050003,Mayorista,Efectivo,12
2020-06-23,Cerveza,1,3,Bebidas,Sur,1640,030004,Mayorista,Tarjeta de Crédito,3
2022-12-02,Thriller,1,16,Libros,Centro,1405,030003,Mayorista,Tarjeta de Crédito,16
2021-05-12,Café,8,7,Alimentos,Este,1453,030002,Mayorista,Transferencia Bancaria,56
2020-04-27,Viajes,8,22,Libros,Centro,1155,010001,Mayorista,Transferencia Bancaria,176
2021-01-19,Ciencia ficción,7,12,Libros,Oeste,1702,030001,Minorista,Transferencia Bancaria,84
2020-09-28,Sofá,1,500,Muebles,Sur,1307,050006,Minorista,Transferencia Bancaria,500
2023-06-26,Agua embotellada,4,1,Bebidas,Oeste,1268,030012,Minorista,Tarjeta de Crédito,4
2023-02-01,Bañador,1,45,Ropa,Centro,1523,030014,Minorista,Transferencia Bancaria,45
2021-08-04,Café,6,2,Bebidas,Norte,1603,030014,Minorista,Tarjeta de Crédito,12
2022-11-11,Cereal,9,4,Alimentos,Este,1840,040013,Mayorista,Transferencia Bancaria,36
2023-10-15,Sudadera,7,35,Ropa,Norte,1592,010012,Mayorista,Transferencia Bancaria,245
2020-01-20,Cereal,7,4,Alimentos,Centro,1028,040013,Minorista,Efectivo,28
2022-07-17,Smoothie,9,5,Bebidas,Centro,1264,040015,Minorista,Efectivo,45
2021-12-26,Laptop,9,800,Electrónica,Centro,1443,050006,Mayorista,Tarjeta de Crédito,7200
2020-08-29,Sombrero,6,20,Ropa,Sur,1315,020010,Minorista,Efectivo,120
2023-09-28,Champán,1,50,Bebidas,Centro,1528,040003,Minorista,Transferencia Bancaria,50
2023-01-16,Pantalones,5,40,Ropa,Norte,1632,020008,Mayorista,Transferencia Bancaria,200
2021-04-12,Armario,7,400,Muebles,Centro,1520,050003,Minorista,Tarjeta de Crédito,2800
