Genero,Nivel_Educativo,Area_Estudio,Promedio,Calificacion_Examen_Final,Participacion_Actividades_Extracurriculares,Horas_Estudio_Semanales,Calificacion_Satisfaccion_Curso,Nivel_Socioeconomico,Calificacion_Bienestar_Emocional,Asistencia_Clases,Calificacion_Habilidades_Sociales,Calificacion_Habilidades_Comunicacion,Fecha,Edad
Masculino,Primaria,Artes,16.24,74,No,16,5,Bajo,5,75,1,8,2016-09-19,6
Femenino,Universitario,Matematicas,14.47,84,Si,10,5,Medio,9,75,5,2,2015-12-29,19
Masculino,Universitario,Ciencias,10.01,74,No,18,2,Bajo,7,90,8,10,2017-06-01,18
Masculino,Secundaria,Artes,8.21,76,Si,23,5,Alto,7,88,10,4,2017-10-06,12
Femenino,Universitario,Ciencias,8.28,78,No,19,1,Bajo,5,71,8,7,2017-12-20,22
Masculino,Universitario,Ciencias,14.96,71,No,8,4,Medio,6,77,4,7,2017-11-17,21
Femenino,Primaria,Artes,18.77,74,No,28,1,Alto,7,70,2,3,2016-04-17,8
Femenino,Secundaria,Matematicas,13.42,99,No,13,4,Bajo,7,92,3,8,2016-06-28,16
Femenino,Primaria,Matematicas,18.35,56,Si,18,5,Bajo,6,83,10,5,2017-05-22,8
Femenino,Primaria,Matematicas,10.8,90,Si,5,5,Medio,8,74,10,2,2017-12-13,6
Femenino,Primaria,Matematicas,19.34,96,No,26,4,Bajo,5,77,6,9,2015-08-18,10
Masculino,Secundaria,Ciencias,14.26,67,Si,5,4,Alto,9,82,4,6,2016-09-01,16
Masculino,Secundaria,Ciencias,19.05,97,Si,8,5,Alto,9,88,3,1,2015-11-20,16
Femenino,Secundaria,Ciencias,11.59,55,Si,22,5,Medio,6,76,1,1,2017-05-31,16
Femenino,Primaria,Artes,15.13,57,No,7,1,Bajo,8,81,8,7,2015-06-30,9
Femenino,Universitario,Matematicas,17.84,86,Si,19,2,Bajo,10,80,9,6,2016-04-22,18
Masculino,Universitario,Artes,13.12,88,No,24,5,Medio,9,71,7,7,2016-04-27,24
Masculino,Primaria,Artes,10.36,64,Si,8,2,Bajo,5,83,1,9,2017-02-13,7
Femenino,Primaria,Artes,14.95,88,No,11,2,Bajo,6,99,8,1,2017-05-19,6
Femenino,Universitario,Artes,12.8,72,No,18,1,Bajo,7,76,4,8,2016-02-27,21
Femenino,Universitario,Ciencias,10.38,72,Si,26,5,Bajo,6,91,3,6,2016-01-23,20
Femenino,Secundaria,Matematicas,16.81,62,No,21,1,Alto,5,87,7,1,2017-01-17,13
Femenino,Universitario,Artes,15.23,67,Si,18,1,Medio,8,81,4,1,2015-02-03,18
Femenino,Universitario,Ciencias,13.8,93,Si,14,4,Alto,7,94,1,4,2015-05-27,19
Masculino,Secundaria,Ciencias,9.5,74,No,29,5,Alto,7,86,9,3,2017-12-31,14
Masculino,Universitario,Artes,13.33,90,No,25,3,Bajo,7,74,7,5,2017-11-17,18
Masculino,Primaria,Artes,14.16,80,Si,23,5,Alto,10,98,10,5,2017-10-29,8
Femenino,Secundaria,Matematicas,19.05,99,No,25,4,Alto,10,75,5,2,2017-04-27,13
Masculino,Primaria,Artes,15.81,79,No,28,3,Medio,10,96,6,5,2016-07-14,7
Femenino,Secundaria,Artes,15.98,67,Si,14,4,Bajo,6,71,4,8,2016-09-26,12
Femenino,Universitario,Artes,11.5,84,Si,23,3,Medio,6,90,9,8,2016-06-07,21
Masculino,Universitario,Ciencias,15.04,98,Si,23,1,Medio,8,98,2,10,2017-07-08,24
Femenino,Primaria,Ciencias,11.85,57,No,10,3,Medio,6,91,4,7,2015-08-12,11
Femenino,Universitario,Ciencias,17.18,71,No,26,2,Medio,5,92,9,2,2016-11-30,17
Masculino,Universitario,Matematicas,13.88,80,Si,11,5,Alto,10,89,9,2,2015-09-14,19
Masculino,Universitario,Ciencias,13.62,59,No,24,4,Medio,6,78,9,1,2016-08-03,24
Masculino,Universitario,Artes,18.25,82,No,20,5,Alto,5,96,10,4,2015-11-12,20
Femenino,Primaria,Artes,18.62,56,No,29,5,Alto,7,98,4,2,2017-10-14,11
Masculino,Primaria,Matematicas,19.28,76,No,21,4,Alto,8,71,2,2,2016-03-30,6
Femenino,Universitario,Artes,18.25,78,No,22,5,Medio,9,96,9,6,2016-08-24,21
Masculino,Primaria,Matematicas,11.25,65,No,18,4,Alto,8,71,8,6,2016-04-14,9
Masculino,Secundaria,Matematicas,12.69,54,Si,20,1,Bajo,7,82,5,4,2017-06-14,13
Femenino,Secundaria,Ciencias,10.84,79,No,8,2,Medio,10,94,2,3,2016-12-01,15
Femenino,Universitario,Matematicas,18.13,73,No,16,2,Bajo,5,98,5,7,2015-06-09,20
Masculino,Universitario,Ciencias,10.23,80,No,29,5,Bajo,6,93,5,4,2016-10-06,22
Femenino,Secundaria,Ciencias,18.76,51,Si,21,1,Medio,5,81,9,7,2017-02-02,13
Femenino,Secundaria,Artes,10.71,80,No,13,3,Alto,9,76,10,2,2016-03-18,13
Femenino,Secundaria,Matematicas,13.38,90,Si,17,4,Medio,8,98,3,4,2017-09-05,15
Femenino,Universitario,Ciencias,14.38,52,No,18,5,Medio,9,71,2,3,2017-10-27,22
Masculino,Primaria,Artes,12.43,61,No,8,2,Bajo,10,91,4,7,2017-07-24,10
Masculino,Secundaria,Artes,19.71,53,No,5,4,Alto,7,70,8,4,2016-07-01,14
Masculino,Universitario,Ciencias,14.41,85,Si,28,4,Alto,9,97,5,10,2016-10-09,18
Masculino,Secundaria,Ciencias,19.92,83,No,12,3,Medio,5,87,6,8,2017-05-17,13
Femenino,Universitario,Ciencias,12.12,95,No,14,2,Alto,7,97,3,2,2017-04-07,23
Masculino,Primaria,Matematicas,19.28,77,Si,10,3,Alto,9,71,2,4,2016-02-21,7
Femenino,Primaria,Artes,10.08,89,Si,24,2,Bajo,7,92,10,1,2016-05-17,8
Masculino,Secundaria,Ciencias,8.57,60,No,18,2,Bajo,6,92,4,4,2016-06-01,15
Masculino,Secundaria,Matematicas,18.5,75,No,18,3,Bajo,10,83,6,6,2016-05-21,13
Masculino,Secundaria,Ciencias,11.66,95,No,11,1,Bajo,10,99,5,8,2016-05-28,14
Femenino,Universitario,Ciencias,9.02,59,No,6,4,Medio,7,73,1,1,2015-03-18,23
Femenino,Secundaria,Matematicas,14.37,99,No,5,2,Bajo,10,97,9,10,2017-01-05,16
Masculino,Secundaria,Artes,19.52,71,No,19,5,Bajo,10,79,8,3,2015-09-05,12
Femenino,Universitario,Artes,19.06,63,Si,15,5,Medio,10,96,2,8,2017-11-15,19
Masculino,Secundaria,Matematicas,8.81,75,Si,18,4,Alto,9,87,1,7,2015-08-11,16
Femenino,Universitario,Matematicas,9.35,72,No,19,5,Medio,9,71,8,3,2015-03-16,17
Masculino,Universitario,Ciencias,9.78,96,No,23,2,Medio,10,85,3,2,2016-05-17,19
Masculino,Primaria,Artes,9.61,99,Si,7,4,Alto,10,85,8,1,2017-01-31,8
Femenino,Primaria,Ciencias,12.98,99,No,20,5,Bajo,7,96,6,3,2015-01-25,11
Femenino,Universitario,Artes,10.84,64,Si,17,4,Alto,9,86,3,4,2015-02-09,22
Masculino,Primaria,Ciencias,10.2,62,No,5,3,Alto,9,84,5,2,2016-04-12,11
Masculino,Secundaria,Ciencias,14.38,73,Si,6,4,Alto,7,77,10,1,2016-06-15,12
Masculino,Universitario,Ciencias,10.92,62,No,11,4,Bajo,7,73,3,4,2017-01-03,24
Masculino,Secundaria,Ciencias,17.0,85,Si,22,1,Medio,5,91,2,3,2015-05-10,12
Masculino,Universitario,Ciencias,15.51,95,No,24,4,Alto,8,91,9,7,2015-11-19,24
Femenino,Primaria,Ciencias,13.12,62,No,23,3,Alto,8,79,1,10,2017-12-29,10
Masculino,Secundaria,Matematicas,16.57,87,Si,9,1,Bajo,10,78,1,2,2016-03-01,14
Femenino,Primaria,Artes,8.94,61,Si,15,1,Bajo,10,85,10,2,2015-10-05,6
Femenino,Primaria,Artes,17.51,58,Si,26,4,Bajo,5,96,7,6,2016-03-20,11
Masculino,Secundaria,Artes,12.67,94,Si,19,2,Medio,7,81,3,9,2015-03-08,16
Femenino,Primaria,Ciencias,16.9,98,No,29,1,Bajo,6,72,9,2,2016-07-12,9
Femenino,Secundaria,Artes,14.09,68,No,11,3,Alto,5,81,6,3,2016-05-16,13
Femenino,Secundaria,Matematicas,12.27,99,Si,11,1,Medio,5,84,7,7,2017-10-25,15
Masculino,Primaria,Matematicas,19.08,59,No,27,1,Bajo,10,87,2,3,2015-01-29,9
Masculino,Universitario,Ciencias,8.48,87,Si,25,1,Bajo,5,77,8,5,2015-12-01,17
Masculino,Secundaria,Matematicas,9.15,96,Si,12,4,Alto,10,97,9,5,2017-11-23,14
Masculino,Primaria,Ciencias,12.42,93,No,23,3,Alto,10,88,2,10,2015-12-19,11
Masculino,Primaria,Matematicas,8.61,82,Si,22,2,Bajo,9,94,7,3,2017-01-07,9
Masculino,Secundaria,Matematicas,13.63,63,No,13,1,Alto,5,98,5,4,2016-09-24,15
Masculino,Secundaria,Matematicas,8.73,85,No,13,2,Medio,7,96,8,3,2016-12-09,15
Masculino,Secundaria,Artes,19.1,93,Si,24,2,Medio,10,83,5,5,2016-02-19,15
Femenino,Universitario,Artes,10.82,61,Si,8,5,Medio,5,95,2,9,2017-04-14,23
Femenino,Secundaria,Artes,12.05,80,No,25,2,Medio,9,83,5,10,2015-08-04,12
Femenino,Primaria,Artes,17.16,56,No,20,4,Alto,9,72,3,3,2015-06-08,10
Masculino,Secundaria,Ciencias,10.12,53,Si,27,2,Alto,7,79,3,9,2016-12-10,16
Femenino,Universitario,Ciencias,15.15,51,No,5,5,Bajo,10,74,8,3,2015-04-19,21
Masculino,Primaria,Ciencias,19.04,70,No,21,2,Bajo,6,94,9,3,2015-11-15,7
Femenino,Universitario,Artes,18.34,84,No,23,5,Alto,7,71,8,7,2015-10-19,22
Femenino,Primaria,Ciencias,9.97,75,No,29,4,Medio,8,72,4,2,2017-01-18,11
Femenino,Secundaria,Matematicas,16.14,59,No,6,4,Bajo,5,94,4,2,2015-04-29,12
Masculino,Primaria,Artes,10.43,52,No,22,4,Bajo,10,98,9,8,2016-07-13,6
Femenino,Secundaria,Matematicas,11.56,73,No,15,1,Medio,10,94,3,10,2016-03-02,14
Femenino,Primaria,Artes,16.13,80,Si,14,4,Bajo,9,81,2,7,2016-09-01,6
Femenino,Universitario,Ciencias,16.38,99,No,7,3,Bajo,8,75,2,8,2015-12-02,24
Femenino,Primaria,Ciencias,14.34,99,Si,23,2,Alto,10,92,4,7,2015-05-24,10
Masculino,Universitario,Ciencias,11.84,52,No,23,5,Bajo,10,86,9,6,2017-06-06,19
Masculino,Primaria,Artes,18.77,82,No,6,5,Alto,5,92,8,4,2015-05-16,10
Masculino,Universitario,Ciencias,13.55,83,No,29,2,Bajo,9,73,9,3,2015-07-17,17
Femenino,Universitario,Ciencias,17.03,91,Si,15,3,Bajo,10,96,8,1,2015-06-01,23
Masculino,Secundaria,Matematicas,12.97,65,Si,24,4,Medio,9,71,8,3,2015-01-02,16
Masculino,Primaria,Matematicas,11.53,50,No,28,3,Medio,6,88,7,6,2017-07-18,9
Femenino,Universitario,Matematicas,11.37,62,Si,28,5,Medio,9,80,8,2,2015-09-12,20
Femenino,Secundaria,Ciencias,19.37,73,Si,23,1,Medio,9,72,4,1,2016-03-27,13
Femenino,Universitario,Matematicas,8.75,52,Si,14,5,Bajo,6,82,4,3,2017-09-19,17
Masculino,Primaria,Ciencias,10.92,95,No,17,1,Bajo,6,87,2,7,2015-09-15,9
Masculino,Universitario,Matematicas,17.37,57,Si,12,4,Medio,8,85,1,2,2015-08-10,18
Masculino,Secundaria,Artes,11.96,54,Si,25,5,Medio,6,84,6,6,2016-08-03,16
Masculino,Universitario,Matematicas,15.44,56,Si,12,4,Medio,9,88,2,1,2017-02-01,24
Masculino,Secundaria,Ciencias,12.93,90,Si,12,4,Alto,6,74,5,8,2015-08-18,13
Femenino,Primaria,Matematicas,8.52,55,Si,23,4,Medio,5,82,10,5,2017-10-21,9
Masculino,Primaria,Ciencias,8.12,98,Si,13,5,Bajo,7,90,9,8,2016-01-04,11
Masculino,Universitario,Ciencias,9.5,92,No,26,3,Medio,8,72,8,3,2016-07-06,19
Masculino,Primaria,Artes,10.35,94,No,20,1,Alto,6,85,8,4,2016-07-24,10
Femenino,Primaria,Ciencias,14.2,86,Si,22,1,Medio,8,75,4,1,2017-10-11,10
Masculino,Secundaria,Ciencias,19.31,53,Si,8,4,Bajo,5,83,9,2,2017-10-01,12
Masculino,Secundaria,Ciencias,16.51,53,No,7,5,Alto,6,87,8,8,2016-03-22,12
Masculino,Universitario,Matematicas,18.45,63,No,21,3,Bajo,9,89,3,10,2017-03-06,20
Masculino,Universitario,Ciencias,10.68,55,No,14,1,Alto,5,90,10,9,2016-09-07,24
Femenino,Primaria,Ciencias,9.96,94,Si,23,2,Bajo,6,85,4,4,2015-05-10,6
Masculino,Secundaria,Matematicas,14.17,67,No,11,3,Bajo,7,73,6,10,2016-06-09,15
Masculino,Universitario,Matematicas,8.98,96,Si,8,5,Bajo,6,78,2,5,2017-07-06,21
Masculino,Primaria,Artes,10.11,79,No,24,1,Alto,8,82,7,10,2017-04-18,10
Masculino,Secundaria,Matematicas,19.05,84,Si,29,1,Medio,5,79,2,2,2015-10-15,16
Masculino,Primaria,Matematicas,15.26,71,No,10,1,Bajo,5,77,9,2,2017-08-07,6
Femenino,Primaria,Artes,9.37,77,No,29,2,Bajo,9,73,5,7,2016-12-15,7
Masculino,Secundaria,Ciencias,14.81,62,Si,11,3,Alto,6,70,6,8,2017-02-17,14
Femenino,Secundaria,Matematicas,13.86,73,No,26,2,Bajo,5,86,5,2,2015-07-26,12
Masculino,Secundaria,Matematicas,12.95,60,No,18,1,Bajo,9,87,2,5,2015-04-23,12
Femenino,Primaria,Matematicas,13.46,50,Si,21,4,Alto,10,71,3,5,2015-05-03,8
Femenino,Secundaria,Artes,12.49,60,No,22,2,Bajo,7,93,5,5,2015-12-19,15
Masculino,Primaria,Ciencias,12.12,85,No,8,5,Alto,10,89,10,7,2017-08-30,7
Femenino,Primaria,Ciencias,16.39,93,No,5,1,Bajo,10,78,10,4,2015-10-13,7
Femenino,Secundaria,Ciencias,10.99,86,Si,11,3,Alto,10,96,9,10,2015-02-03,14
Masculino,Universitario,Artes,17.53,60,Si,11,4,Alto,7,90,10,10,2017-08-03,23
Femenino,Primaria,Matematicas,13.31,53,Si,21,1,Bajo,9,80,10,4,2016-05-02,10
Masculino,Secundaria,Matematicas,12.36,60,Si,16,3,Medio,6,83,2,1,2017-02-20,14
Masculino,Primaria,Ciencias,16.69,83,No,14,3,Bajo,5,87,3,8,2015-03-21,7
Masculino,Universitario,Matematicas,15.08,91,No,7,4,Medio,8,91,3,2,2017-10-29,21
Masculino,Universitario,Matematicas,15.33,52,No,19,3,Medio,5,81,5,9,2017-07-21,24
Masculino,Primaria,Artes,14.66,80,No,23,2,Alto,6,70,6,6,2016-05-22,10
Femenino,Universitario,Matematicas,12.9,80,No,20,1,Alto,10,73,3,10,2015-09-23,21
Femenino,Primaria,Matematicas,15.39,99,Si,24,3,Bajo,7,77,2,2,2017-07-16,9
Femenino,Universitario,Matematicas,17.09,55,No,8,2,Medio,5,92,4,3,2017-10-21,21
Femenino,Universitario,Artes,19.54,93,Si,26,5,Bajo,8,84,5,2,2015-07-07,22
Femenino,Universitario,Artes,8.03,62,Si,28,1,Bajo,10,91,9,10,2016-10-02,23
Femenino,Universitario,Artes,14.87,84,No,11,4,Alto,5,83,8,9,2016-06-22,17
Femenino,Universitario,Artes,12.19,81,Si,22,4,Bajo,10,96,4,6,2015-04-01,18
Femenino,Secundaria,Matematicas,16.28,89,Si,14,1,Medio,5,72,10,1,2016-12-22,15
Masculino,Primaria,Ciencias,16.99,70,Si,23,2,Alto,7,75,2,7,2015-08-30,10
Femenino,Primaria,Ciencias,14.21,92,Si,10,4,Alto,6,99,3,2,2015-05-13,6
Femenino,Primaria,Matematicas,18.62,59,Si,8,4,Bajo,9,92,1,6,2016-07-29,8
Femenino,Primaria,Matematicas,9.72,77,No,28,2,Bajo,8,77,3,9,2016-07-08,11
Masculino,Secundaria,Matematicas,11.34,70,No,24,3,Bajo,5,99,3,4,2017-09-13,16
Masculino,Primaria,Ciencias,16.51,88,No,22,5,Alto,6,80,10,4,2017-08-27,7
Masculino,Secundaria,Ciencias,15.76,78,No,19,1,Medio,7,88,9,10,2015-06-11,12
Femenino,Universitario,Artes,11.23,52,No,10,2,Medio,9,87,1,7,2015-09-07,24
Femenino,Secundaria,Ciencias,11.15,80,Si,23,5,Medio,9,71,10,1,2015-09-18,13
Femenino,Secundaria,Ciencias,9.77,90,Si,7,3,Bajo,8,96,9,3,2015-01-26,12
Masculino,Primaria,Ciencias,18.65,87,No,8,4,Medio,10,74,2,2,2016-07-20,8
Femenino,Universitario,Ciencias,12.16,76,No,23,2,Bajo,7,93,5,7,2016-05-11,21
Femenino,Primaria,Ciencias,15.24,72,Si,23,2,Bajo,10,98,2,3,2015-09-26,8
Femenino,Primaria,Ciencias,18.39,63,No,7,2,Alto,10,95,6,1,2017-08-04,7
Masculino,Secundaria,Ciencias,17.21,84,No,9,4,Alto,10,94,3,9,2015-11-24,15
Masculino,Primaria,Ciencias,17.72,56,No,27,3,Alto,6,77,5,6,2015-04-18,7
Femenino,Secundaria,Matematicas,8.94,70,Si,20,2,Bajo,6,83,4,1,2016-09-02,14
Femenino,Primaria,Matematicas,12.6,59,No,28,4,Medio,5,87,4,9,2016-08-30,6
Masculino,Primaria,Matematicas,19.9,86,Si,15,4,Bajo,5,79,8,3,2016-01-16,9
Femenino,Universitario,Artes,11.17,78,Si,25,1,Bajo,7,96,7,8,2017-03-24,20
Femenino,Secundaria,Matematicas,15.01,75,No,12,2,Alto,9,86,4,4,2016-07-03,15
Femenino,Secundaria,Matematicas,18.04,89,Si,20,3,Bajo,6,77,3,1,2016-01-26,12
Masculino,Secundaria,Matematicas,16.04,54,No,15,3,Medio,6,97,4,6,2017-07-04,15
Femenino,Secundaria,Artes,8.84,54,Si,23,3,Bajo,8,82,3,10,2015-02-23,14
Femenino,Universitario,Artes,10.94,58,Si,12,2,Bajo,7,79,9,3,2015-11-11,21
Masculino,Primaria,Artes,14.55,71,No,20,5,Medio,6,82,6,5,2015-09-20,7
Femenino,Primaria,Artes,18.32,65,Si,16,4,Bajo,7,97,2,10,2017-08-06,10
Femenino,Secundaria,Matematicas,17.66,93,No,20,2,Medio,8,94,2,10,2015-01-28,14
Femenino,Primaria,Artes,12.18,65,No,28,3,Medio,9,76,5,7,2015-07-30,11
Femenino,Secundaria,Matematicas,19.77,98,Si,18,3,Alto,7,70,1,10,2016-10-23,12
Femenino,Universitario,Matematicas,8.55,97,No,17,2,Alto,9,90,8,6,2017-07-23,24
Masculino,Primaria,Matematicas,10.31,54,Si,9,3,Bajo,8,78,4,7,2015-01-30,7
Femenino,Primaria,Matematicas,19.59,62,No,22,1,Alto,6,72,5,6,2016-12-25,10
Masculino,Primaria,Ciencias,11.94,69,No,17,4,Alto,5,81,3,7,2017-10-08,10
Femenino,Universitario,Matematicas,18.78,94,No,11,5,Alto,8,73,7,4,2017-05-30,24
Masculino,Universitario,Matematicas,15.83,62,Si,21,2,Medio,7,76,9,6,2015-03-05,22
Masculino,Secundaria,Matematicas,8.13,75,No,13,5,Medio,9,71,7,10,2015-08-04,14
Femenino,Universitario,Ciencias,9.45,56,No,7,3,Bajo,10,86,1,7,2015-11-25,23
Masculino,Secundaria,Ciencias,14.45,99,Si,29,5,Medio,9,80,2,1,2016-07-30,14
Masculino,Universitario,Ciencias,14.11,78,Si,29,4,Alto,5,79,1,7,2016-02-18,22
Masculino,Universitario,Ciencias,19.78,57,Si,12,4,Bajo,8,70,6,10,2016-03-29,24
Masculino,Primaria,Artes,15.69,89,No,22,1,Medio,10,82,10,8,2017-12-22,10
Femenino,Primaria,Ciencias,10.76,98,No,23,1,Medio,5,85,10,4,2015-05-14,11
Masculino,Primaria,Ciencias,16.58,72,Si,16,4,Alto,7,96,8,3,2016-12-07,7
Masculino,Universitario,Ciencias,11.22,89,No,27,3,Bajo,5,98,1,4,2015-04-27,23
Masculino,Secundaria,Artes,9.57,84,No,10,1,Alto,5,96,5,1,2016-05-09,15
Femenino,Secundaria,Matematicas,8.2,96,Si,17,5,Medio,7,87,1,10,2015-09-04,13
Femenino,Secundaria,Matematicas,9.8,69,Si,28,2,Medio,6,88,4,5,2015-01-13,16
Femenino,Primaria,Artes,11.14,85,No,24,3,Medio,8,74,3,5,2016-12-03,7
Masculino,Universitario,Artes,17.8,84,No,7,1,Alto,5,83,6,5,2017-06-17,23
Femenino,Secundaria,Artes,13.26,51,No,15,1,Bajo,9,76,5,7,2015-06-30,13
Masculino,Secundaria,Ciencias,15.76,57,No,14,2,Alto,5,70,2,2,2017-07-24,16
Femenino,Secundaria,Artes,11.31,82,Si,6,2,Bajo,8,87,3,1,2016-01-23,15
Masculino,Universitario,Matematicas,19.42,57,No,16,1,Alto,9,94,5,3,2017-10-29,18
Femenino,Primaria,Matematicas,17.67,64,No,29,2,Bajo,10,80,4,5,2017-01-13,6
Masculino,Universitario,Matematicas,9.5,73,No,23,2,Alto,8,81,2,4,2017-10-28,24
Masculino,Universitario,Matematicas,19.09,78,Si,15,5,Medio,7,82,3,10,2015-03-31,23
Masculino,Universitario,Matematicas,16.59,86,No,27,5,Alto,10,88,5,2,2017-02-24,22
Femenino,Universitario,Matematicas,10.41,59,No,10,2,Alto,9,87,1,8,2015-06-14,24
Masculino,Universitario,Ciencias,19.82,99,Si,13,4,Medio,5,94,7,7,2017-10-30,19
Femenino,Secundaria,Artes,14.07,91,Si,11,5,Bajo,10,79,10,3,2017-06-08,15
Femenino,Universitario,Ciencias,12.22,62,No,6,1,Medio,7,99,2,4,2015-07-03,18
Masculino,Universitario,Artes,10.79,94,Si,16,2,Alto,9,92,7,3,2015-12-17,21
Masculino,Universitario,Artes,8.05,72,Si,7,3,Bajo,8,78,1,4,2017-04-15,21
Femenino,Universitario,Ciencias,11.97,55,Si,7,1,Medio,9,82,4,9,2017-03-01,21
Masculino,Secundaria,Artes,8.47,50,Si,19,3,Medio,8,82,6,5,2017-04-27,14
Masculino,Universitario,Artes,17.73,84,No,8,2,Alto,10,78,2,2,2016-08-15,21
Masculino,Secundaria,Artes,11.34,71,Si,14,2,Medio,8,91,1,9,2015-07-17,14
Femenino,Primaria,Artes,12.23,75,No,8,2,Bajo,10,72,4,1,2017-03-17,6
Masculino,Secundaria,Ciencias,16.45,87,No,5,4,Medio,10,78,1,10,2015-06-09,13
Femenino,Secundaria,Artes,9.45,79,Si,26,3,Alto,10,81,8,7,2015-11-06,14
Femenino,Universitario,Matematicas,14.87,65,Si,11,2,Medio,9,94,10,9,2016-01-19,19
Femenino,Universitario,Ciencias,12.84,95,Si,24,2,Bajo,5,78,1,3,2016-12-31,19
Femenino,Universitario,Ciencias,10.81,96,Si,11,3,Medio,7,84,4,1,2016-01-23,20
Masculino,Primaria,Artes,16.5,80,Si,7,5,Medio,8,79,4,4,2015-03-15,9
Masculino,Universitario,Ciencias,13.95,96,No,28,5,Alto,5,79,4,7,2017-12-16,18
Femenino,Universitario,Artes,8.02,80,Si,17,3,Alto,9,91,7,8,2015-03-02,19
Masculino,Primaria,Artes,10.81,83,No,26,5,Alto,10,91,7,6,2017-01-20,8
Femenino,Universitario,Artes,15.0,58,No,11,2,Alto,5,80,3,5,2017-12-23,23
Masculino,Secundaria,Ciencias,14.88,74,No,28,1,Medio,8,84,2,2,2017-12-04,12
Femenino,Secundaria,Matematicas,10.96,86,Si,15,1,Alto,6,82,1,5,2015-09-04,12
Femenino,Primaria,Matematicas,16.5,92,No,14,4,Bajo,8,83,3,2,2015-08-25,7
Femenino,Primaria,Matematicas,16.11,76,No,11,3,Medio,8,78,2,4,2016-07-30,9
Femenino,Primaria,Artes,18.11,67,Si,28,1,Bajo,7,78,5,3,2015-12-12,7
Femenino,Universitario,Ciencias,16.8,72,No,5,4,Alto,8,85,10,9,2015-10-06,17
Femenino,Secundaria,Matematicas,15.62,99,No,28,5,Medio,7,86,9,3,2016-03-05,15
Femenino,Primaria,Ciencias,19.32,97,Si,28,2,Bajo,7,74,8,4,2015-03-20,7
