Marca,Producto,Tipo,Pulgadas,Procesador,RAM(GB),GPU,SistemaOperativo,Peso(kg),Precio(S/),Resolucion,TipoPantalla,PantallaTactil,Proc_freq(GHz),Almacenamiento_1(GB),Almacenamiento_1_tipo,Almacenamiento_2(GB),Almacenamiento_2_tipo,Marca_procesador,Marca_GPU
HP,ProBook 450,Notebook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 930MX ,Windows 10,2.1,3656.64,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,Nvidia
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 620,Linux,2.0,1618.24,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,2.65,6235.84,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,Linux,2.3,2175.64,1366x768,,0.0,2.5,1000.0,HDD,0.0,,Intel,Nvidia
Acer,Aspire A515-51G,Notebook,15.6,Intel Core i5 8250U ,4,Intel UHD Graphics 620,Windows 10,2.2,2837.12,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Intel Core i5 8250U ,12,Nvidia GeForce 150MX,Windows 10,2.77,4155.84,1920x1080,,1.0,1.6,1000.0,HDD,0.0,,Intel,Nvidia
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Graphics 540,macOS,1.37,5903.04,2560x1600,IPSPanelRetinaDisplay,0.0,2.0,256.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,2.2,1535.04,1366x768,,0.0,2.0,128.0,SSD,0.0,,Intel,Intel
Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 ,8,AMD Radeon RX 580,Windows 10,3.2,5403.84,1920x1080,,0.0,3.0,256.0,SSD,1000.0,HDD,AMD,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon R5 M430,Windows 10,2.3,2658.24,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,AMD
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N4200 ,4,Nvidia GeForce 920MX,Windows 10,2.8,1938.56,1366x768,,0.0,1.1,1000.0,HDD,0.0,,Intel,Nvidia
Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 ,4,Intel HD Graphics 400,Android,0.69,1327.04,1920x1200,IPSPanel,1.0,1.44,64.0,FlashStorage,0.0,,Intel,Intel
Acer,Aspire A515-51G,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce MX150,Windows 10,2.2,3498.56,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,Nvidia
HP,255 G6,Notebook,15.6,AMD A6-Series 9220 ,4,AMD Radeon R4 Graphics,Windows 10,1.86,1657.72,1920x1080,,0.0,2.5,256.0,SSD,0.0,,AMD,AMD
HP,ProBook 430,Notebook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.49,4588.48,1920x1080,,0.0,1.8,512.0,SSD,0.0,,Intel,Intel
Acer,Aspire 3,Notebook,15.6,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,2.4,1597.44,1366x768,,0.0,2.4,1000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 3576,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 520,Windows 10,2.13,3194.05,1920x1080,,0.0,1.8,256.0,SSD,0.0,,Intel,AMD
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.91,1826.24,1920x1080,,0.0,2.0,128.0,SSD,0.0,,Intel,Intel
Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,2.0,2438.55,1366x768,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
MSI,GS73VR 7RG,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.43,10187.84,1920x1080,,0.0,2.8,256.0,SSD,2000.0,HDD,Intel,Nvidia
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Linux,2.0,1726.4,1920x1080,,0.0,2.0,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,16,AMD Radeon 530,Windows 10,2.8,5403.84,1920x1080,,0.0,1.8,256.0,SSD,2000.0,HDD,Intel,AMD
Dell,Vostro 5471,Ultrabook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.7,3656.64,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel Core i3 7130U ,8,Intel HD Graphics 620,No OS,1.7,2491.84,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.4,3914.56,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.86,2870.4,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Asus,ZenBook Pro,Ultrabook,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,8249.28,1920x1080,,0.0,2.8,512.0,SSD,0.0,,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon 520,Windows 10,1.86,1824.95,1366x768,,0.0,2.0,500.0,HDD,0.0,,Intel,AMD
HP,Stream 14-AX040wm,Notebook,14.0,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,1.44,952.64,1366x768,,0.0,1.6,32.0,SSD,0.0,,Intel,Intel
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.9,2283.84,1920x1080,,0.0,2.5,1000.0,HDD,0.0,,Intel,Intel
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Intel Core i7 7700HQ ,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,3947.84,1920x1080,,0.0,2.8,1000.0,HDD,0.0,,Intel,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10 S,1.252,4530.24,2256x1504,,1.0,2.5,128.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,1.4,3972.8,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,AMD
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.2,3619.2,1920x1080,,0.0,1.8,256.0,SSD,0.0,,Intel,AMD
MSI,GL72M 7RDX,Gaming,17.3,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.7,4555.2,1920x1080,,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,Aspire E5-475,Notebook,14.0,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,2.1,1618.24,1366x768,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,3947.84,1920x1080,,0.0,2.8,1000.0,HDD,0.0,,Intel,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,No OS,2.2,2159.04,1920x1080,,0.0,2.5,2000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,2.02,3556.8,1920x1080,,0.0,1.8,128.0,SSD,1000.0,HDD,Intel,Intel
Acer,Aspire A515-51G-32MX,Notebook,15.6,Intel Core i3 7130U ,4,Nvidia GeForce MX130,Windows 10,2.2,2204.8,1920x1080,,0.0,2.7,1000.0,HDD,0.0,,Intel,Nvidia
HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U ,8,Nvidia GeForce 930MX,Windows 10,2.5,4064.32,1920x1080,,0.0,1.6,128.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.88,4560.03,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
Apple,"MacBook 12""",Ultrabook,12.0,Intel Core i5 ,8,Intel HD Graphics 615,macOS,0.92,6281.6,2304x1440,IPSPanelRetinaDisplay,0.0,1.3,512.0,SSD,0.0,,Intel,Intel
HP,ProBook 440,Notebook,14.0,Intel Core i5 8250U ,8,Intel HD Graphics 620,Windows 10,1.63,3577.6,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A6-Series 9220 ,4,AMD R4 Graphics,Windows 10,2.2,1659.84,1920x1080,,0.0,2.5,128.0,SSD,0.0,,AMD,AMD
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,1643.2,1366x768,,0.0,3.0,1000.0,HDD,0.0,,AMD,AMD
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,5611.84,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,Pavilion 15-CK000nv,Ultrabook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,2907.84,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.96,2491.8,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,2.2,6027.84,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.21,6859.84,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,Intel
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD FX 9830P ,8,AMD Radeon RX 560,Windows 10,2.45,2907.84,1920x1080,,0.0,3.0,1000.0,HDD,0.0,,AMD,AMD
Acer,Aspire 5,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce MX150,Windows 10,2.2,2866.24,1920x1080,,0.0,1.8,1000.0,HDD,0.0,,Intel,Nvidia
HP,Probook 430,Notebook,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.49,4979.52,1920x1080,,0.0,1.8,512.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.65,4971.2,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Nvidia
Asus,Zenbook UX430UA,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.25,4363.84,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.5,3523.52,1920x1080,IPSPanel,1.0,1.6,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R5 M430,Linux,2.2,2495.58,1920x1080,,0.0,2.7,1000.0,HDD,0.0,,Intel,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Linux,2.2,2017.6,1920x1080,,0.0,2.0,256.0,SSD,0.0,,Intel,AMD
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Intel Core i3 7100U ,6,Nvidia GeForce 920M,Windows 10,2.0,2400.32,1920x1080,,0.0,2.4,256.0,SSD,0.0,,Intel,Nvidia
HP,Omen 15-ce007nv,Gaming,15.6,Intel Core i7 7700HQ ,12,Nvidia GeForce GTX 1050,Windows 10,2.62,5195.84,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon 530,Windows 10,1.91,2991.04,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,AMD
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD E-Series E2-9000e ,4,AMD Radeon R2,Windows 10,2.1,1451.84,1920x1080,,0.0,1.5,500.0,HDD,0.0,,AMD,AMD
Dell,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 520,Linux,2.2,2691.52,1920x1080,,0.0,1.6,1000.0,HDD,0.0,,Intel,AMD
HP,Envy 13-ad009n,Ultrabook,13.3,Intel Core i7 7500U ,8,Nvidia GeForce MX150,Windows 10,1.38,4655.04,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10 S,1.252,5574.4,2256x1504,,1.0,2.5,256.0,SSD,0.0,,Intel,Intel
HP,Pavilion 14-BK001nv,Notebook,14.0,Intel Core i5 7200U ,6,Nvidia GeForce 940MX,Windows 10,1.58,2741.44,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Nvidia
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.85,1725.98,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,1.3,4962.88,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Nvidia
MSI,GP62M 7REX,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,5403.84,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,Thinkpad T470,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.58,6156.8,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 8550U ,16,Nvidia GeForce MX150,Windows 10,1.5,5249.92,1920x1080,,0.0,1.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7560U ,8,Intel Iris Plus Graphics 640,Windows 10,1.23,5736.64,3200x1800,,1.0,2.4,256.0,SSD,0.0,,Intel,Intel
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.37,5819.84,1920x1080,IPSPanel,1.0,2.5,256.0,SSD,0.0,,Intel,Intel
HP,Probook 440,Notebook,14.0,Intel Core i5 8250U ,4,Intel UHD Graphics 620,Windows 10,1.63,3003.52,1366x768,IPSPanel,0.0,1.6,500.0,HDD,0.0,,Intel,Intel
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.21,6776.64,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,,Intel,Intel
HP,Spectre x360,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.26,5819.8,1920x1080,IPSPanel,1.0,1.6,256.0,SSD,0.0,,Intel,Intel
HP,Probook 440,Notebook,14.0,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.63,4509.44,1920x1080,,0.0,1.8,512.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 7570,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce 940MX,Windows 10,2.16,4702.17,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Intel Core i3 6006U ,4,Nvidia GeForce 920MX,Windows 10,2.0,2346.24,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,Nvidia
Asus,VivoBook S15,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce 940MX,Windows 10,1.7,4650.88,1920x1080,,0.0,1.8,256.0,SSD,0.0,,Intel,Nvidia
Acer,Spin 3,Notebook,15.6,Intel Core i3 7100U ,6,Intel HD Graphics 620,Windows 10,2.1,1992.64,1920x1080,IPSPanel,1.0,2.4,1000.0,HDD,0.0,,Intel,Intel
MSI,GS63VR 7RG,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,1.8,9324.64,1920x1080,,0.0,2.8,256.0,SSD,2000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,No OS,2.2,2616.64,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Nvidia
HP,Probook 470,Notebook,17.3,Intel Core i7 8550U ,16,Nvidia GeForce 930MX ,Windows 10,2.5,5287.36,1920x1080,,0.0,1.8,512.0,SSD,0.0,,Intel,Nvidia
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,1876.16,1366x768,,0.0,3.0,256.0,SSD,0.0,,AMD,AMD
HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,No OS,1.86,1077.44,1366x768,,0.0,1.6,500.0,HDD,0.0,,Intel,Intel
